x,y
1,1
2,1
3,0.5
4,0.5
5,0.5
6,0.5
7,0.5
8,0.5
9,0.5
10,0.5
11,1
12,1
13,0.5
14,1
15,2.5
16,0.5
17,0.5
18,1.5
19,0.5
20,0.5
21,0.5
22,0.5
23,0.5
24,1.5
25,2.5
26,0.5
27,1.5
28,0.5
29,1
30,0.5
31,1
32,0.5
33,1
34,0.5
35,1.5
36,3
37,0.5
38,0.5
39,0.5
40,1
41,0.5
42,1
43,0.5
44,0.5
45,1
46,0.5
47,0.5
48,1.5
49,0.5
50,1.5
51,1
52,1.5
53,0.5
54,1
55,1
56,1.5
57,1
58,2
59,1.5
60,0.5
61,0.5
62,1
63,0.5
64,0.5
65,0.5
66,0.5
67,0.5
68,0.5
69,1.5
70,1
71,0.5
72,0.5
73,1.5
74,0.5
75,0.5
76,1.5
77,1.5
78,0.5
79,0.5
80,0.5
81,0.5
82,1
83,1
84,0.5
85,0.5
86,0.5
87,0.5
88,1
89,0.5
90,0.5
91,1
92,1
93,1
94,1
95,1
96,1
97,1.5
98,1
99,2.5
100,0.5
101,1
102,0.5
103,1
104,0.5
105,0.5
106,0.5
107,1
108,0.5
109,0.5
110,0.5
111,0.5
112,0.5
113,1
114,0.5
115,0.5
116,1.5
117,1
118,0.5
119,0.5
120,0.5
121,0.5
122,0.5
123,0.5
124,3
125,1.5
126,0.5
127,1
128,0.5
129,1.5
130,1
131,0.5
132,0.5
133,0.5
134,0.5
135,0.5
136,0.5
137,1
138,0.5
139,1.5
140,1
141,2
142,0.5
143,0.5
144,0.5
145,0.5
146,2
147,1
148,0.5
149,0.5
150,1
151,0.5
152,0.5
153,0.5
154,2
155,0.5
156,1
157,1.5
158,1.5
159,1
160,1
161,1
162,1
163,0.5
164,0.5
165,0.5
166,1.5
167,0.5
168,1
169,0.5
170,0.5
171,0.5
172,1.5
173,1
174,1
175,0.5
176,1
177,1
178,0.5
179,1
180,1
181,0.5
182,1.5
183,1.5
184,1
185,1.5
186,1.5
187,0.5
188,0.5
189,0.5
190,0.5
191,1
192,0.5
193,0.5
194,0.5
195,0.5
196,2
197,1
198,1.5
199,0.5
200,0.5
201,2
202,2.5
203,0.5
204,0.5
205,0.5
206,1
207,2
208,1
209,0.5
210,1.5
211,1
212,0.5
213,1
214,0.5
215,0.5
216,0.5
217,1
218,0.5
219,2
220,1.5
221,0.5
222,1.5
223,1.5
224,1
225,1
226,0.5
227,0.5
228,1
229,0.5
230,2.5
231,1
232,1
233,1
234,0.5
235,1.5
236,0.5
237,0.5
238,1
239,1.5
240,2
241,0.5
242,1.5
243,1
244,1
245,1.5
246,1
247,0.5
248,1.5
249,1
250,1
251,0.5
252,0.5
253,1
254,0.5
255,0.5
256,1.5
257,0.5
258,0.5
259,0.5
260,1.5
261,0.5
262,0.5
263,0.5
264,1.5
265,2
266,2.5
267,1
268,0.333333333
269,0.666666667
270,1
271,0.333333333
272,0.333333333
273,0.666666667
274,0.666666667
275,1.333333333
276,1.333333333
277,0.333333333
278,1
279,1
280,1
281,0.666666667
282,0.333333333
283,2
284,2
285,1
286,0.666666667
287,0.333333333
288,0.666666667
289,0.666666667
290,0.666666667
291,0.333333333
292,0.666666667
293,1
294,1.333333333
295,0.333333333
296,0.333333333
297,0.333333333
298,0.333333333
299,0.333333333
300,0.333333333
301,0.666666667
302,0.333333333
303,0.333333333
304,0.333333333
305,0.666666667
306,0.333333333
307,0.333333333
308,0.333333333
309,0.333333333
310,0.666666667
311,1
312,1
313,0.333333333
314,2
315,0.666666667
316,0.333333333
317,1
318,1.333333333
319,0.666666667
320,0.333333333
321,0.333333333
322,0.666666667
323,0.333333333
324,1
325,1
326,0.333333333
327,1
328,0.666666667
329,0.666666667
330,1.333333333
331,1.333333333
332,0.333333333
333,0.333333333
334,0.333333333
335,0.666666667
336,0.333333333
337,0.666666667
338,1
339,0.333333333
340,0.666666667
341,0.333333333
342,0.666666667
343,0.333333333
344,1
345,0.666666667
346,0.666666667
347,1
348,0.333333333
349,0.333333333
350,0.666666667
351,1
352,1
353,1.333333333
354,0.666666667
355,0.666666667
356,0.666666667
357,0.666666667
358,0.333333333
359,1
360,0.333333333
361,0.333333333
362,0.666666667
363,0.333333333
364,0.666666667
365,0.333333333
366,0.666666667
367,0.666666667
368,1
369,0.666666667
370,0.333333333
371,0.333333333
372,1
373,1
374,0.333333333
375,0.333333333
376,1
377,0.666666667
378,0.333333333
379,0.333333333
380,1.333333333
381,0.333333333
382,0.333333333
383,0.333333333
384,0.333333333
385,0.333333333
386,1
387,0.666666667
388,0.666666667
389,1
390,0.333333333
391,0.333333333
392,1.333333333
393,1
394,0.333333333
395,0.333333333
396,1.333333333
397,0.333333333
398,0.666666667
399,0.666666667
400,0.333333333
401,0.666666667
402,0.666666667
