#analysemethode	waarde	bpgrens	x	y	lat	lng
Gehalte Zink DS	53.1216		59029	163416	50.774136	3.078948
Gehalte Zink DS	23.1945		59060.31	163423.21	50.774206	3.07939
Gehalte Zink DS	30.4572		59060	163425	50.774222	3.079386
Gehalte Zink DS	48.1203		59093	163382	50.773841	3.079864
Gehalte Zink DS	64.7258		59104	163408	50.774076	3.080014
Gehalte Zink DS	44.6084		59141.8	163374.66	50.773782	3.080558
Gehalte Zink DS	43.1132		59167	163375	50.773789	3.080915
Gehalte Zink DS	34.1811		59181.94	163334.44	50.773427	3.081136
Gehalte Zink DS	70.3485		59222	163377	50.773816	3.081694
Gehalte Zink DS	171.42		59228.81	163334.7	50.773437	3.081801
Gehalte Zink DS	65.8346		59244.21	163376.49	50.773815	3.082009
Gehalte Zink DS	129.174		59295.85	163398.84	50.774024	3.082735
Gehalte Zink DS	84.8017		59300	163325	50.773361	3.082812
Gehalte Zink DS	27.731		59300	163375	50.77381	3.0828
Gehalte Zink DS	17.5594		59360	163325	50.77337	3.083663
Gehalte Zink DS	55.6558		59360	163375	50.773819	3.08365
Gehalte Zink DS	36.2156		59366	163312	50.773254	3.083751
Gehalte Zink DS	14.8935		59380.46	163396.59	50.774017	3.083935
Gehalte Zink DS	85.7485		59388	163305	50.773195	3.084065
Gehalte Zink DS	63.7063		59394	163389	50.77395	3.084129
Gehalte Zink DS	407.447		59394	163389	50.77395	3.084129
Gehalte Zink DS	34.9212		59442.44	163394.78	50.77401	3.084814
Gehalte Zink DS	33.6799		59420	163325	50.773379	3.084513
Gehalte Zink DS	67.4895		59420.87	163377.53	50.773852	3.084513
Gehalte Zink DS	35.6775		59480	163325	50.773389	3.085364
Gehalte Zink DS	34.2961		59480	163375	50.773838	3.085352
Gehalte Zink DS	32.1689		59506	163329	50.773429	3.085731
Gehalte Zink DS	43.3304		59531	163361	50.77372	3.086078
Gehalte Zink DS	214.319		59536	163394	50.774017	3.086141
Gehalte Zink DS	54.2283		59540	163325	50.773398	3.086214
Gehalte Zink DS	64.2509		59540	163375	50.773847	3.086202
Gehalte Zink DS	64.639		59562	163403	50.774102	3.086507
Gehalte Zink DS	246.682		59600	163325	50.773407	3.087065
Gehalte Zink DS	65.6379		59600	163375	50.773857	3.087053
Gehalte Zink DS	306.116		59600	163425	50.774306	3.08704
Gehalte Zink DS	38.9228		59614	163346	50.773598	3.087258
Gehalte Zink DS	274.299		59624	163421	50.774274	3.087382
Gehalte Zink DS	217.211		59660	163375	50.773866	3.087903
Gehalte Zink DS	330.798		59660	163425	50.774315	3.087891
Gehalte Zink DS	224.745		59685	163381	50.773924	3.088256
Gehalte Zink DS	193.401		59689	163360	50.773736	3.088318
Gehalte Zink DS	308.159		59697	163444	50.774492	3.088411
Gehalte Zink DS	260.946		59720	163375	50.773875	3.088754
Gehalte Zink DS	269.739		59720	163425	50.774325	3.088741
Gehalte Zink DS	237.374		59743.2	163439.06	50.774455	3.089067
Gehalte Zink DS	268.627		59780	163425	50.774334	3.089592
Gehalte Zink DS	238.721		59780	163475	50.774783	3.08958
Gehalte Zink DS	99.8694		59029	163416	50.774136	3.078948
Gehalte Zink DS	47.5197		59060.31	163423.21	50.774206	3.07939
Gehalte Zink DS	37.1493		59093	163382	50.773841	3.079864
Gehalte Zink DS	64.3798		59104	163408	50.774076	3.080014
Gehalte Zink DS	70.0564		59141.8	163374.66	50.773782	3.080558
Gehalte Zink DS	53.4519		59167	163375	50.773789	3.080915
Gehalte Zink DS	198.852		59181.94	163334.44	50.773427	3.081136
Gehalte Zink DS	86.316		59228.81	163334.7	50.773437	3.081801
Gehalte Zink DS	164.46		59244.21	163376.49	50.773815	3.082009
Gehalte Zink DS	163.256		59300	163325	50.773361	3.082812
Gehalte Zink DS	75.3522		59300	163375	50.77381	3.0828
Gehalte Zink DS	104.062		59360	163325	50.77337	3.083663
Gehalte Zink DS	37.5698		59360	163375	50.773819	3.08365
Gehalte Zink DS	72.7559		59366	163312	50.773254	3.083751
Gehalte Zink DS	68.8435		59380.46	163396.59	50.774017	3.083935
Gehalte Zink DS	198.512		59388	163305	50.773195	3.084065
Gehalte Zink DS	177.736		59394	163389	50.77395	3.084129
Gehalte Zink DS	135.915		59442.44	163394.78	50.77401	3.084814
Gehalte Zink DS	198.318		59420	163325	50.773379	3.084513
Gehalte Zink DS	240.102		59420.87	163377.53	50.773852	3.084513
Gehalte Zink DS	107.73		59480	163325	50.773389	3.085364
Gehalte Zink DS	128.505		59480	163375	50.773838	3.085352
Gehalte Zink DS	208.879		59506	163329	50.773429	3.085731
Gehalte Zink DS	71.5653		59531	163361	50.77372	3.086078
Gehalte Zink DS	274.847		59536	163394	50.774017	3.086141
Gehalte Zink DS	65.4452		59540	163325	50.773398	3.086214
Gehalte Zink DS	114.899		59540	163375	50.773847	3.086202
Gehalte Zink DS	653.302		59562	163403	50.774102	3.086507
Gehalte Zink DS	201.247		59600	163325	50.773407	3.087065
Gehalte Zink DS	143.876		59600	163375	50.773857	3.087053
Gehalte Zink DS	544.335		59600	163425	50.774306	3.08704
Gehalte Zink DS	387.167		59614	163346	50.773598	3.087258
Gehalte Zink DS	714.113		59624	163421	50.774274	3.087382
Gehalte Zink DS	599.379		59660	163375	50.773866	3.087903
Gehalte Zink DS	628.508		59660	163425	50.774315	3.087891
Gehalte Zink DS	803.858		59685	163381	50.773924	3.088256
Gehalte Zink DS	590.594		59689	163360	50.773736	3.088318
Gehalte Zink DS	647.011		59697	163444	50.774492	3.088411
Gehalte Zink DS	558.962		59720	163375	50.773875	3.088754
Gehalte Zink DS	538.218		59720	163425	50.774325	3.088741
Gehalte Zink DS	589.38		59743.2	163439.06	50.774455	3.089067
Gehalte Zink DS	372.431		59780	163425	50.774334	3.089592
Gehalte Zink DS	256.795		59780	163475	50.774783	3.08958
Gehalte Zink DS	136.6537644		109812.8752	179634.2625	50.925635	3.797159
Gehalte Zink DS	152.2677757		109812.8752	179634.2625	50.925635	3.797159
Gehalte Zink DS	120.6824672		109812.8752	179634.2625	50.925635	3.797159
Gehalte Zink DS	342.7035169		92131	188641	51.005104	3.54426
Gehalte Zink DS	347.9002916		92131	188641	51.005104	3.54426
Gehalte Zink DS	389.2224355		92131	188641	51.005104	3.54426
Gehalte Zink DS	304.2076503		100212.454	182922.262	50.954448	3.660171
Gehalte Zink DS	359.0297578		100212.454	182922.262	50.954448	3.660171
Gehalte Zink DS	396.725317		100212.454	182922.262	50.954448	3.660171
