id	type	modified	language	rights	rightsHolder	bibliographicCitation	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	dataGeneralizations	occurrenceID	catalogNumber	recordedBy	associatedReferences	eventDate	continent	country	countryCode	verbatimLocality	verbatimCoordinates	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	scientificName	kingdom	taxonRank	scientificNameAuthorship	nomenclaturalCode
INBO:FLORA:00000001	Event	2014-12-06	nl	http://creativecommons.org/publicdomain/zero/1.0/ & https://github.com/LifeWatchINBO/norms-for-data-use	INBO	Van Landuyt W, Vanhecke L, Brosens D (2012) Florabank 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region). PhytoKeys 12: 59–67. doi: team.3897/phytokeys.12.2849	http://dataset.inbo.be/florabank1-occurrences	INBO	INBO	FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)	INBO	HumanObservation	The centroid coördinates of the IFBL square containing the occurence were given	INBO:FLORA:00000001	00000001	Pieter Hendrickx	Streeplijst flower 2001 (nederlandstalig)	2004-05-01/2004-05-31	Europe	BELGIUM	BE	Zuun-beekvallei-alluviale percelen	e4-42-33	IFBL 1km	50.77434	4.14923	WGS84	700	Acer campestre	Plantae	Species	L.	ICBN
INBO:FLORA:00000002	Event	2014-12-06	nl	http://creativecommons.org/publicdomain/zero/1.0/ & https://github.com/LifeWatchINBO/norms-for-data-use	INBO	Van Landuyt W, Vanhecke L, Brosens D (2012) Florabank 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region). PhytoKeys 12: 59–67. doi: team.3897/phytokeys.12.2849	http://dataset.inbo.be/florabank1-occurrences	INBO	INBO	FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)	INBO	HumanObservation	The centroid coördinates of the IFBL square containing the occurence were given	INBO:FLORA:00000002	00000002	Steven De Saeger;Lieve Vriens	Biologische Waarderingskaart	2003-01-01/2003-12-31	Europe	BELGIUM	BE	22-lv1082	d3-43-22	IFBL 1km	50.97989	3.79228	WGS84	700	Acer campestre	Plantae	Species	L.	ICBN
INBO:FLORA:00000003	Event	2014-12-06	nl	http://creativecommons.org/publicdomain/zero/1.0/ & https://github.com/LifeWatchINBO/norms-for-data-use	INBO	Van Landuyt W, Vanhecke L, Brosens D (2012) Florabank 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region). PhytoKeys 12: 59–67. doi: team.3897/phytokeys.12.2849	http://dataset.inbo.be/florabank1-occurrences	INBO	INBO	FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)	INBO	HumanObservation	The centroid coördinates of the IFBL square containing the occurence were given	INBO:FLORA:00000003	00000003	Jean Castro;Pieter Hendrickx	Streeplijst flower 2001 (nederlandstalig)	2001-05-01/2001-05-31	Europe	BELGIUM	BE	Herkwinning Borgloon (+Tongeren)	e6-38-34	IFBL 1km	50.80585	5.41174	WGS84	700	Acer campestre	Plantae	Species	L.	ICBN
INBO:FLORA:00000004	Event	2014-12-06	nl	http://creativecommons.org/publicdomain/zero/1.0/ & https://github.com/LifeWatchINBO/norms-for-data-use	INBO	Van Landuyt W, Vanhecke L, Brosens D (2012) Florabank 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region). PhytoKeys 12: 59–67. doi: team.3897/phytokeys.12.2849	http://dataset.inbo.be/florabank1-occurrences	INBO	INBO	FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)	INBO	HumanObservation	The centroid coördinates of the IFBL square containing the occurence were given	INBO:FLORA:00000004	00000004	Geert Heyneman	Streeplijst flower 1995	1993-01-01/1993-12-31	Europe	BELGIUM	BE	Vrieselhof	c5-22-31	IFBL 1km	51.21477	4.60515	WGS84	700	Acer campestre	Plantae	Species	L.	ICBN
INBO:FLORA:00000005	Event	2014-12-06	nl	http://creativecommons.org/publicdomain/zero/1.0/ & https://github.com/LifeWatchINBO/norms-for-data-use	INBO	Van Landuyt W, Vanhecke L, Brosens D (2012) Florabank 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region). PhytoKeys 12: 59–67. doi: team.3897/phytokeys.12.2849	http://dataset.inbo.be/florabank1-occurrences	INBO	INBO	FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)	INBO	HumanObservation	The centroid coördinates of the IFBL square containing the occurence were given	INBO:FLORA:00000005	00000005	Danny Minnebo;Karel De Waele;William Sierens;J. De Troyer;Ingrid Taveirne;L. Huyghe;I. Aelvoet;Hugo Notebaert;R. Minnebo;Leen Martens;Ch. Melis;Annick Verstraete;J. Dedrie;Jean De Prez;An Leyssen;M. Detolleneer;Cyrilla Gillis;R. Van De Walle;Christine Troch; Plantenwerkgroep Natuurpunt Gent;M. Bensch;H. Van de Wynkele	Streeplijst flower 1995	2004-01-01/2004-12-31	Europe	BELGIUM	BE	Gentbrugge, park en spoorwegberm	d3-23-31	IFBL 1km	51.03361	3.74885	WGS84	700	Acer campestre	Plantae	Species	L.	ICBN
INBO:FLORA:00000006	Event	2014-12-06	nl	http://creativecommons.org/publicdomain/zero/1.0/ & https://github.com/LifeWatchINBO/norms-for-data-use	INBO	Van Landuyt W, Vanhecke L, Brosens D (2012) Florabank 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region). PhytoKeys 12: 59–67. doi: team.3897/phytokeys.12.2849	http://dataset.inbo.be/florabank1-occurrences	INBO	INBO	FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)	INBO	HumanObservation	The centroid coördinates of the IFBL square containing the occurence were given	INBO:FLORA:00000006	00000006	K. Lale;William Sierens;Fr. Lavens;Ingrid Taveirne;Arthur Suys;L. Huyghe;Hugo Notebaert;Leen Martens;Ch. Melis;J. Dedrie;Jean De Prez;Marc Haerssens;R. Van De Walle;J. Van Wonterghem; Plantenwerkgroep Natuurpunt Gent;Jozef Buysse;Annie Bracke	Streeplijst flower 1995	2004-06-01/2004-06-30	Europe	BELGIUM	BE	Eeklo, Het Leen	c2-37-33	IFBL 1km	51.16701	3.51831	WGS84	700	Acer campestre	Plantae	Species	L.	ICBN
INBO:FLORA:00000007	Event	2014-12-06	nl	http://creativecommons.org/publicdomain/zero/1.0/ & https://github.com/LifeWatchINBO/norms-for-data-use	INBO	Van Landuyt W, Vanhecke L, Brosens D (2012) Florabank 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region). PhytoKeys 12: 59–67. doi: team.3897/phytokeys.12.2849	http://dataset.inbo.be/florabank1-occurrences	INBO	INBO	FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)	INBO	HumanObservation	The centroid coördinates of the IFBL square containing the occurence were given	INBO:FLORA:00000007	00000007	Herwig Mees;Ronny Segers	losse waarneming	2003-01-01/2003-12-31	Europe	BELGIUM	BE	Breendonk Rijweg/Schaafstraat	d4-25-12	IFBL 1km	51.05320	4.33334	WGS84	700	Acer campestre	Plantae	Species	L.	ICBN
INBO:FLORA:00000008	Event	2014-12-06	nl	http://creativecommons.org/publicdomain/zero/1.0/ & https://github.com/LifeWatchINBO/norms-for-data-use	INBO	Van Landuyt W, Vanhecke L, Brosens D (2012) Florabank 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region). PhytoKeys 12: 59–67. doi: team.3897/phytokeys.12.2849	http://dataset.inbo.be/florabank1-occurrences	INBO	INBO	FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)	INBO	HumanObservation	The centroid coördinates of the IFBL square containing the occurence were given	INBO:FLORA:00000008	00000008	Anoniem	Streeplijst flower 1995	1992-01-01/1992-12-31	Europe	BELGIUM	BE	Rood Klooster Vallei, kalkhellingen en Sluipdelle	e4-37	IFBL 4km	50.82394	4.45413	WGS84	2800	Acer campestre	Plantae	Species	L.	ICBN
INBO:FLORA:00000009	Event	2014-12-06	nl	http://creativecommons.org/publicdomain/zero/1.0/ & https://github.com/LifeWatchINBO/norms-for-data-use	INBO	Van Landuyt W, Vanhecke L, Brosens D (2012) Florabank 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region). PhytoKeys 12: 59–67. doi: team.3897/phytokeys.12.2849	http://dataset.inbo.be/florabank1-occurrences	INBO	INBO	FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)	INBO	HumanObservation	The centroid coördinates of the IFBL square containing the occurence were given	INBO:FLORA:00000009	00000009	Karl Mathijs;Ronny Deckers;Freddy Vermeulen;Gilbert Van Ael;Jacqueline Poeck	Streeplijst flower 2001 (nederlandstalig)	2005-01-01/2005-12-31	Europe	BELGIUM	BE	Edegem, Fort V	c4-37-33	IFBL 1km	51.17004	4.43334	WGS84	700	Acer campestre	Plantae	Species	L.	ICBN
INBO:FLORA:00000010	Event	2014-12-06	nl	http://creativecommons.org/publicdomain/zero/1.0/ & https://github.com/LifeWatchINBO/norms-for-data-use	INBO	Van Landuyt W, Vanhecke L, Brosens D (2012) Florabank 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region). PhytoKeys 12: 59–67. doi: team.3897/phytokeys.12.2849	http://dataset.inbo.be/florabank1-occurrences	INBO	INBO	FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)	INBO	HumanObservation	The centroid coördinates of the IFBL square containing the occurence were given	INBO:FLORA:00000010	00000010	Karel De Waele	Streeplijst flower 1995	2005-01-01/2005-12-31	Europe	BELGIUM	BE	Machelen: Oude Leie, kerk	d2-46-32	IFBL 1km	50.95997	3.47938	WGS84	700	Acer campestre	Plantae	Species	L.	ICBN
